,Sample,Actual_Control_CR,Actual_Treatment_CR,Round,Control_Clicks,Control_Sale,Control_CR,Treatment_Clicks,Treatment_Sale,Treatment_CR,Bayesian_Lift,Prob,Z-value,P-value,Freq_Lift
756,75,5.67%,5.57%,6,24740,1428,5.77%,21986,1215,5.53%,-4.2%,12.6%,1.147951956,0.250988398,-4.3%
757,75,5.67%,5.57%,7,21266,1329,6.25%,22248,1189,5.34%,-14.5%,0.0%,4.042094105,5.30E-05,-14.5%
758,75,5.67%,5.57%,8,10624,586,5.52%,10988,589,5.36%,-2.8%,30.7%,0.503767917,0.614424476,-2.8%
759,75,5.67%,5.57%,9,16531,929,5.62%,17094,964,5.64%,0.3%,53.1%,-0.078195598,0.937672463,0.3%
760,76,5.28%,5.28%,0,15254,830,5.44%,16041,866,5.40%,-0.8%,43.4%,0.16610676,0.868072935,-0.8%
761,76,5.28%,5.28%,1,5158,279,5.41%,4628,247,5.34%,-1.3%,43.9%,0.157667327,0.874718948,-1.3%
762,76,5.28%,5.28%,2,36928,2026,5.49%,34936,1760,5.04%,-8.2%,0.4%,2.69032778,0.007138187,-8.2%
763,76,5.28%,5.28%,3,49774,2542,5.11%,48626,2487,5.11%,0.1%,52.1%,-0.053154928,0.957608467,0.1%
764,76,5.28%,5.28%,4,13144,725,5.52%,13266,674,5.08%,-7.9%,5.7%,1.578701173,0.114404616,-7.9%
765,76,5.28%,5.28%,5,22943,1250,5.45%,24339,1272,5.23%,-4.1%,14.1%,1.074148949,0.282755929,-4.1%
766,76,5.28%,5.28%,6,7975,394,4.94%,8012,397,4.96%,0.3%,51.7%,-0.042644893,0.965984609,0.3%
767,76,5.28%,5.28%,7,42853,2310,5.39%,38273,2013,5.26%,-2.4%,20.4%,0.828901485,0.407160155,-2.4%
768,76,5.28%,5.28%,8,7058,362,5.13%,7259,333,4.59%,-10.5%,6.6%,1.507333267,0.131725255,-10.6%
769,76,5.28%,5.28%,9,49952,2647,5.30%,50951,2664,5.23%,-1.3%,30.8%,0.501655592,0.615909807,-1.3%
770,77,2.92%,2.93%,0,46439,1300,2.80%,42682,1281,3.00%,7.2%,96.4%,-1.795455715,0.072581122,7.2%
771,77,2.92%,2.93%,1,29333,804,2.74%,28613,892,3.12%,13.7%,99.6%,-2.688375786,0.007180054,13.7%
772,77,2.92%,2.93%,2,47097,1307,2.78%,46862,1341,2.86%,3.1%,78.8%,-0.800794007,0.423250909,3.1%
773,77,2.92%,2.93%,3,8240,247,3.00%,8551,235,2.75%,-8.3%,16.7%,0.967371709,0.333358247,-8.3%
774,77,2.92%,2.93%,4,28280,818,2.89%,27800,812,2.92%,1.0%,57.9%,-0.199883117,0.841571995,1.0%
775,77,2.92%,2.93%,5,18916,506,2.67%,19971,613,3.07%,14.7%,99.0%,-2.325679891,0.020035634,14.7%
776,77,2.92%,2.93%,6,29028,824,2.84%,29269,905,3.09%,8.9%,96.4%,-1.803050862,0.071380227,8.9%
777,77,2.92%,2.93%,7,38938,1120,2.88%,41431,1234,2.98%,3.5%,80.4%,-0.857701051,0.391057559,3.5%
778,77,2.92%,2.93%,8,47109,1405,2.98%,47742,1386,2.90%,-2.7%,23.5%,0.722943376,0.469714673,-2.7%
779,77,2.92%,2.93%,9,30108,842,2.80%,29221,854,2.92%,4.5%,82.1%,-0.920439053,0.357343369,4.5%
780,78,3.76%,3.67%,0,15844,575,3.63%,15903,589,3.70%,2.1%,63.8%,-0.353483255,0.72372618,2.1%
781,78,3.76%,3.67%,1,44712,1657,3.71%,46873,1733,3.70%,-0.2%,47.2%,0.069834859,0.944325101,-0.2%
782,78,3.76%,3.67%,2,36868,1427,3.87%,35973,1355,3.77%,-2.7%,23.2%,0.731143501,0.464691506,-2.7%
783,78,3.76%,3.67%,3,16268,663,4.08%,15197,555,3.65%,-10.4%,2.6%,1.945791162,0.051679831,-10.4%
784,78,3.76%,3.67%,4,33447,1242,3.71%,36384,1263,3.47%,-6.5%,4.3%,1.71804474,0.085788455,-6.5%
785,78,3.76%,3.67%,5,40929,1503,3.67%,43963,1636,3.72%,1.3%,64.7%,-0.378800969,0.704835668,1.3%
786,78,3.76%,3.67%,6,16185,630,3.89%,17506,628,3.59%,-7.8%,7.0%,1.476007236,0.13994195,-7.8%
787,78,3.76%,3.67%,7,32462,1248,3.84%,32223,1179,3.66%,-4.8%,10.7%,1.242109272,0.214196248,-4.8%
788,78,3.76%,3.67%,8,9963,360,3.61%,11219,396,3.53%,-2.3%,37.1%,0.327516536,0.743277238,-2.3%
789,78,3.76%,3.67%,9,49773,1982,3.98%,50680,1869,3.69%,-7.4%,0.8%,2.42833568,0.015168297,-7.4%
790,79,1.40%,1.46%,0,29730,392,1.32%,31112,455,1.46%,10.9%,93.5%,-1.514605059,0.12987245,10.9%
791,79,1.40%,1.46%,1,32986,449,1.36%,34156,508,1.49%,9.2%,91.6%,-1.378191126,0.168144286,9.3%
792,79,1.40%,1.46%,2,23282,306,1.31%,24003,372,1.55%,17.8%,98.4%,-2.153424448,0.031285336,17.9%
793,79,1.40%,1.46%,3,12454,175,1.41%,10598,143,1.35%,-3.9%,36.1%,0.36238389,0.717065177,-4.0%
794,79,1.40%,1.46%,4,2759,39,1.41%,3060,46,1.50%,5.9%,60.9%,-0.284822706,0.775779975,6.3%
795,79,1.40%,1.46%,5,24175,380,1.57%,26144,391,1.50%,-4.9%,24.3%,0.696256477,0.486268224,-4.9%
796,79,1.40%,1.46%,6,1425,15,1.05%,1352,17,1.26%,18.6%,69.2%,-0.505350856,0.613312429,19.5%
797,79,1.40%,1.46%,7,10394,125,1.20%,9507,130,1.37%,13.7%,84.9%,-1.032503696,0.301836217,13.7%
798,79,1.40%,1.46%,8,26677,386,1.45%,25293,376,1.49%,2.7%,64.7%,-0.37575987,0.707095424,2.7%
799,79,1.40%,1.46%,9,10882,154,1.42%,11774,176,1.49%,5.5%,69.0%,-0.499880547,0.61715919,5.6%
800,80,4.67%,4.60%,0,35711,1586,4.44%,35006,1644,4.70%,5.7%,94.8%,-1.624736638,0.104218687,5.7%
801,80,4.67%,4.60%,1,44049,2113,4.80%,43968,1952,4.44%,-7.4%,0.6%,2.525534951,0.011552229,-7.4%
802,80,4.67%,4.60%,2,7033,341,4.85%,6735,312,4.63%,-4.4%,27.6%,0.596206561,0.551037243,-4.5%
803,80,4.67%,4.60%,3,1894,95,5.02%,1717,94,5.47%,9.1%,73.3%,-0.61825215,0.536409139,9.1%
804,80,4.67%,4.60%,4,32250,1491,4.62%,34667,1602,4.62%,-0.1%,49.4%,0.013213572,0.989457402,0.0%
805,80,4.67%,4.60%,5,24623,1193,4.85%,23220,1164,5.01%,3.5%,80.2%,-0.847871178,0.396509718,3.5%
806,80,4.67%,4.60%,6,30440,1411,4.64%,32355,1489,4.60%,-0.7%,42.1%,0.198568931,0.842599959,-0.7%
807,80,4.67%,4.60%,7,27465,1277,4.65%,26291,1268,4.82%,3.7%,82.8%,-0.946244646,0.344023819,3.7%
808,80,4.67%,4.60%,8,48424,2288,4.72%,46493,2164,4.65%,-1.5%,30.4%,0.513281789,0.607754221,-1.5%
809,80,4.67%,4.60%,9,15209,690,4.54%,13778,598,4.34%,-4.3%,20.9%,0.810951076,0.417393767,-4.3%
810,81,3.22%,3.37%,0,22479,784,3.49%,24396,832,3.41%,-2.2%,32.3%,0.458300126,0.646736833,-2.2%
811,81,3.22%,3.37%,1,41040,1335,3.25%,40787,1369,3.36%,3.2%,79.6%,-0.828431152,0.40742637,3.2%
812,81,3.22%,3.37%,2,46847,1568,3.35%,54049,1828,3.38%,1.0%,62.0%,-0.307876566,0.758176258,1.0%
813,81,3.22%,3.37%,3,39691,1342,3.38%,42068,1449,3.44%,1.9%,69.1%,-0.498214731,0.6183327,1.9%
814,81,3.22%,3.37%,4,16401,495,3.02%,16663,536,3.22%,6.6%,85.0%,-1.038815515,0.298890544,6.6%
815,81,3.22%,3.37%,5,48103,1522,3.16%,51135,1707,3.34%,5.5%,93.9%,-1.545570565,0.122208315,5.5%
816,81,3.22%,3.37%,6,17571,564,3.21%,16518,573,3.47%,8.1%,90.9%,-1.331511071,0.183020904,8.1%
817,81,3.22%,3.37%,7,40535,1288,3.18%,38185,1312,3.44%,8.1%,97.9%,-2.027523496,0.042608904,8.1%
